Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
1770,2015-07-23,Mswipe,Mobile Point Of Sale Payment Solution,Unknown,Unknown,"Falco Edge Capital, Meru Capital, Ola, Matrix Parters, DSG Cosumer Parters, Axis Bak",Private Equity,25000.0,2200000.0,Series B,Other
1771,2015-07-23,Myonsto,Online Grocers,Unknown,Ahmedabad,Jayat Bokadia,Seed Funding,320.0,28160.0,No Remark,Tier 2/3 India
1772,2015-07-23,MedGenome,Clinical Genomics Provider,Unknown,Bengaluru,Sequoia Capital,Private Equity,20000.0,1760000.0,Series B,Tier 1 India
1773,2015-07-23,HolidayIQ,Travel Information Portal,Unknown,Bengaluru,MakeMyTrip,Private Equity,15000.0,1320000.0,Strategic Investment,Tier 1 India
1774,2015-07-23,Fitternity,Fitness Marketplace,Unknown,Mumbai,Exfiity Veture Parters,Private Equity,1000.0,88000.0,Series A,Tier 1 India
1775,2015-07-23,Quikr,Online & Mobile Classified Listings,Unknown,Mumbai,"AB Kievik, Falco Edge Capital, Coatue Maagemet",Private Equity,60000.0,5280000.0,Late Stage,Tier 1 India
1776,2015-07-24,BroEx,Real Estate,Unknown,Gurgaon,Lightspeed Idia,Private Equity,1000.0,88000.0,Bridge round,Tier 1 India
1777,2015-07-25,CredR,Used Bikes Marketplace,Unknown,Mumbai,Fidelity Growth Parters,Private Equity,15000.0,1320000.0,Series A,Tier 1 India
1778,2015-07-27,ManageMySpa,Spa & Salon Management Software,Unknown,Hyderabad,Accel Parters,Private Equity,6000.0,528000.0,Series A,Tier 1 India
1779,2015-07-28,Pepperfry,E-Commerce,Unknown,Mumbai,"Goldma Sachs, Zodius Techology Fud, Bertelsma Idia Ivestmets Norwest Veture Parters.",Private Equity,100000.0,8800000.0,Series D,Tier 1 India
1780,2015-07-28,Flipkart.com,E-Commerce,Unknown,Bengaluru,Steadview Capital ad existig ivestors,Private Equity,700000.0,61600000.0,"Late Stage, 10th Round More here",Tier 1 India
1781,2015-07-28,Opinio,Hyperlocal Services,Unknown,Bengaluru,"Accel Parters, Traxc Labs & Others",Seed Funding,1300.0,114400.0,No Remark,Tier 1 India
1782,2015-07-28,Zoctr,Health & Wellness,Unknown,Mumbai,"Sadeep Parwal, Krisha Gupta & Others",Seed Funding,1000.0,88000.0,No Remark,Tier 1 India
1783,2015-07-29,Zimmber,Hyperlocal Services,Unknown,Mumbai,"IDG Vetures Idia, Omidyar Network, Sherpalo Vetures, Mohadas Pai",Private Equity,2000.0,176000.0,Series A,Tier 1 India
1784,2015-07-29,trueHb,Medical Tech Instruments,Unknown,New Delhi,"Sachi ad Biy Basal, Malvider ad Shivider Sigh, Gurpreet Sigh & others",Seed Funding,2400.0,211200.0,No Remark,Tier 1 India
1785,2015-07-29,Zovi.com / Little App,Hyperlocal Services,Unknown,Bengaluru,"Paytm, SAIF Parters, Tiger Global Maagemet & others",Private Equity,50000.0,4400000.0,Series A,Tier 1 India
1786,2015-07-29,Swajal,Innovative Water Solutions,Unknown,Gurgaon,Abhishek Gupta,Private Equity,1200.0,105600.0,Series A,Tier 1 India
1787,2015-07-30,Pipa Bella,Online Jewelry Store,Unknown,Mumbai,LioRock Capital,Private Equity,600.0,52800.0,Pre-Series A,Tier 1 India
1788,2015-07-30,Pragmatix,Business Intelligence & Analytics,Unknown,Mumbai,SIDBI Veture Capital Ltd,Private Equity,2400.0,211200.0,Series A,Tier 1 India
1789,2015-07-30,Droom.in,Used Vehicle Marketplace,Unknown,New Delhi,"Lightbox Vetures, Beeos",Private Equity,16000.0,1408000.0,Series A,Tier 1 India
1790,2015-07-30,MadRat Games,Educational Board Games,Unknown,Bengaluru,"Kual Bahl, Rohit Basal",Seed Funding,168.0,14784.0,No Remark,Tier 1 India
1791,2015-07-30,Noodle Play,Food Delivery,Unknown,Mumbai,"Elliot Stechma, Gautam Siha, Ambarish Ray",Seed Funding,168.0,14784.0,No Remark,Tier 1 India
1792,2015-07-31,LazyLad,Hyperlocal Services,Unknown,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,500.0,44000.0,pre-Series A,Tier 1 India
1793,2015-07-31,Prothom,Hasbro Toy Manufacturer,Unknown,Pune,Oliphabs Capital,Private Equity,2000.0,176000.0,Series A,Tier 1 India
1794,2015-07-31,Bona Vita,Travel Tech,Unknown,Gurgaon,MakeMyTrip,Private Equity,5000.0,440000.0,Strategic Investment,Tier 1 India
1795,2015-06-01,Veeba Foods,Healthy Food Manufacturer,Unknown,New Delhi,"DSG Cosumer Parters, Saama Capital.",Private Equity,6000.0,528000.0,Series B,Tier 1 India
